"ShiftKmY","scientificName_checked"
-25.31,"Cathartes aura"
-20.92,"Troglodytes aedon"
-17.05,"Plegadis falcinellus"
-16.6667,"Chlidonias niger"
-15.8333,"Aegithalos caudatus"
-15.125,"Sterna dougallii"
-12.704,"Progne subis"
-10.4845,"Poecile palustris"
-8.8794,"Lissotriton vulgaris"
-8.4956,"Bubo virginianus"
-8.3333,"Sturnus vulgaris"
-7.9148,"Hylocichla mustelina"
-7.6,"Buteo regalis"
-7.5,"Streptopelia turtur"
-7.5,"Linaria cannabina"
-7.0833,"Gallinula chloropus"
-6.7948,"Streptopelia turtur"
-6.6667,"Carduelis carduelis"
-6.5229,"Bufo bufo"
-6.375,"Anas acuta"
-6.2857,"Streptopelia turtur"
-5.9581,"Rana temporaria"
-5.5714,"Lissotriton vulgaris"
-5.5238,"Sterna dougallii"
-5,"Sylvia communis"
-4.5491,"Molothrus ater"
-4.1667,"Asio otus"
-3.9869,"Valeriana officinalis"
-3.87,"Falco sparverius"
